ndcg3_severity,ndcg3_w2,mrr_authoritative,real_ndcg3,real_mrr,qid,dimension,package,arm
1.0,1.0,1.0,0.7288368792759478,1.0,45,severity,pyyaml,static_twr
1.0,1.0,1.0,0.7288368792759478,1.0,45,severity,pyyaml,ltwr
1.0,1.0,1.0,0.5457673758551895,1.0,46,vuln_status,pyyaml,rrf
1.0,1.0,1.0,0.7288368792759478,1.0,46,vuln_status,pyyaml,static_twr
1.0,1.0,1.0,0.618306950342076,1.0,46,vuln_status,pyyaml,ltwr
1.0,1.0,1.0,0.618306950342076,1.0,47,recency,pyyaml,rrf
1.0,1.0,1.0,0.7288368792759478,1.0,47,recency,pyyaml,static_twr
1.0,1.0,1.0,0.6718513476054694,1.0,47,recency,pyyaml,ltwr
1.0,1.0,1.0,0.5457673758551895,1.0,48,combined,pyyaml,rrf
1.0,1.0,1.0,0.7288368792759478,1.0,48,combined,pyyaml,static_twr
1.0,1.0,1.0,0.6718513476054694,1.0,48,combined,pyyaml,ltwr
0.89293189936764,1.0,1.0,0.5165433378544396,1.0,53,severity,spring-framework,rrf
1.0,1.0,1.0,0.9220889635778748,1.0,53,severity,spring-framework,static_twr
0.8230929086742522,1.0,1.0,0.5048056528500728,1.0,53,severity,spring-framework,ltwr
0.8303010754742701,1.0,0.5,0.5400187078631733,1.0,54,vuln_status,spring-framework,rrf
1.0,1.0,1.0,0.9220889635778748,1.0,54,vuln_status,spring-framework,static_twr
0.901306029678045,1.0,1.0,0.6958407807074236,1.0,54,vuln_status,spring-framework,ltwr
0.89293189936764,1.0,1.0,0.5165433378544396,1.0,55,recency,spring-framework,rrf
1.0,1.0,1.0,0.9220889635778748,1.0,55,recency,spring-framework,static_twr
0.8230929086742522,1.0,1.0,0.5048056528500728,1.0,55,recency,spring-framework,ltwr
0.8435737579924145,1.0,0.5,0.6296674292896652,1.0,56,combined,spring-framework,rrf
1.0,1.0,1.0,0.9220889635778748,1.0,56,combined,spring-framework,static_twr
0.901306029678045,1.0,1.0,0.7406651414206696,1.0,56,combined,spring-framework,ltwr
