rrf,static_twr,ltwr
26.9029987975955,65.2069993520854,74.9080008972669
27.303000024403445,60.505999499582686,68.10800005041528
38.705000406480394,89.61000094132032,112.31200005568098
26.603000151226297,52.106001021456905,54.20600064098835
24.203000066336244,50.505999752203934,55.50599962589331
44.40500015334692,65.9079996694345,57.205999837606214
29.70400055346545,64.20699901354965,81.00900049612392
40.30399941257201,53.5059989488218,54.205998821998946
38.10399903159123,89.20999971451238,89.70999988378026
37.10400051204488,534.4579985830933,139.916000989615
36.50399958132766,76.20799988217186,86.20900007372256
22.001999241183512,46.40499901142903,51.50600009073969
33.40399962326046,80.20899986149743,94.9099994613789
36.604000342777,62.006998632568866,63.80699960573111
28.3030003629392,55.30599992198404,60.30699842085596
33.90399979252834,76.50900079170242,76.20799988217186
22.602000171900727,56.80600042978767,61.70699998619966
30.503000743919984,96.51099935581442,108.31200052052736
32.70399975008331,80.80900079221465,98.51100003288593
41.00400110473856,97.91100092115812,223.32499975163955
34.60399966570549,71.20700138329994,84.51000030618161
26.603000151226297,55.10600021807477,58.0060004722327
31.903999115456827,69.20699888723902,84.60999924864154
23.603000954608433,55.00599945662543,58.00700091640465
76.3080006436212,130.11500050197355,108.91199963225517
29.903998438385315,65.20700117107481,98.31099850998726
22.30300015071407,47.40499934996478,51.906001317547634
25.90300027804915,47.304998588515446,50.406000809744
25.203000404872,87.00900070834905,64.70799962698948
35.90400046959985,116.11299851210788,102.61100032948889
24.901999495341443,80.30899880395737,66.20800013479311
26.503001208766364,59.406000218586996,63.407000197912566
